=======Début heuristique=======
Ordre :  [ 5  9  4  3  7 12  2  4 13  9  5  7  2  8  3 11  0  6 12  3 13 11  6  0
  3  2 11  9 12 11 13  3  0  6 14  9 12  4  6 12  9 11 10  2  6  1 14  4
 13  4  0  2  1  8  7 13  0 14  8  1  1  7 14  8  1 14 10  7  8 10  5 10
 10  5  5]
Durée :  973
=======Fin heuristique=======

=======Début descente directe=======
Convergence terminée
Descente directe :  [ 5  9  4  3  7 12  2  4 13  9  5  7  2  8  3 11  0  6 12  3 13 11  6  0
  3  2 11  9 12 11 13  3  0  6 14  9 12  4  6 12  9 11 10  2  6  1 14  4
 13  4  0  2  1  8  7 13  0 14  8  1  1  7 14  8  1 14 10  7  8 10  5 10
 10  5  5]
Durée :  973

=======Début exploration génétique=======
Iteration : 0, moyenne des durée : 983.45, durée min : 973, durée max : 1035
Meilleur temps trouvé : 915
=======Début descente directe=======
Meilleur temps trouvé : 910
=======Convergence terminée=======
Iteration : 7450, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 7500, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 7550, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 7600, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 7650, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 7700, moyenne des durée : 910.05, durée min : 910, durée max : 915
Iteration : 7750, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 7800, moyenne des durée : 911.26, durée min : 910, durée max : 948
Iteration : 7850, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 7900, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 7950, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 8000, moyenne des durée : 910.9, durée min : 910, durée max : 943
Iteration : 8050, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 8100, moyenne des durée : 911.46, durée min : 910, durée max : 959
Iteration : 8150, moyenne des durée : 910.36, durée min : 910, durée max : 935
Iteration : 8200, moyenne des durée : 910.09, durée min : 910, durée max : 915
Iteration : 8250, moyenne des durée : 910.4, durée min : 910, durée max : 926
Iteration : 8300, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 8350, moyenne des durée : 910.24, durée min : 910, durée max : 931
Iteration : 8400, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 8450, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 8500, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 8550, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 8600, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 8650, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 8700, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 8750, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 8800, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 8850, moyenne des durée : 910.05, durée min : 910, durée max : 915
Iteration : 8900, moyenne des durée : 910.64, durée min : 910, durée max : 942
Iteration : 8950, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 9000, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 9050, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 9100, moyenne des durée : 910.27, durée min : 910, durée max : 919
Iteration : 9150, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 9200, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 9250, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 9300, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 9350, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 9400, moyenne des durée : 910.0, durée min : 910, durée max : 910Ouverture dans une session de navigateur existante.

Iteration : 9450, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 9500, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 9550, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 9600, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 9650, moyenne des durée : 910.17, durée min : 910, durée max : 919
Iteration : 9700, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 9750, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 9800, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 9850, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 9900, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 9950, moyenne des durée : 910.0, durée min : 910, durée max : 910
Optimum non trouvé après 9999 itérations
Temps :  1334.5053174495697
Durée final 910
Ordre final [ 5  9  4  3 12  2  4 13  9  5  7  2  8  3 11  0  6 12  3 13 11  6  0  3
  2 11  9 12 11 13  3  0  6 14  9 12  4  4  6 12  9 11 10  2  6  1  0 14
  4 13  1  8 13  2 14  8  1  1  7 14  8  1 14 10  7  8 10  5 10 10  5  5
  7  7  0]
