=======Début heuristique=======
Ordre :  [15 14  4  6 19  7  0  5 19 16  3  1  6 16  0 19 16 16  4  7  4  3  6  5
  0  4 16  6  7 14 11 19  3  8  6 10  5  7  0  3 15  7 18 19 10 13  3  0
 10  1 15 11  5 10 12 11 18  5  1 15  9 10 18 15 14 11 17  1  2  8 11 14
 13  1  9 14 17  4 18 12  2 13  9 17  8 12 12 18  8  2  9 13  8 17  2  9
  2 12 17 13]
Durée :  1268
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 1267
Meilleur temps trouvé : 1266
Meilleur temps trouvé : 1265
Convergence terminée
Descente directe :  [14  4  6 19 16  0  5 19 16  3  1  6 16  0 19 16 16  4  7  4  3  6  5  0
  4  7  6  7 14 11 19  3  8  6 15 10  5  7  0  3 15  7 18 19 10 13  3  0
 10  1 15 11  5 10 12 11 18  5  1 15  9 10 18 15 14 11 17  1  2  8 11 14
 13  1  9 14 17  4 18 12  2 13  9 17  8 12 13 12 18  8  2  9 13  8 17  2
  9  2 12 17]
Durée :  1265

=======Début exploration génétique=======
=======Convergence terminée=======
Descente directe :  [14  4  6 19 16  0  5 19 16  3  1  6 16  0 19 16 16  4  7  4  3  6  5  0
  3  7 19  6  7  3 11 19  4  8  6 15 10  5  7  0  1 14 15  7 18 10 13  3
  0 10  1 15 11  5 10 12 11 18  5  1 14  9 10 18 15 14 11 17  1  2  8 11
 14 13  9 15 17  4 18 12  2 13  9 17  8 12 13 12 18  8  2  9 13  8 17  2
  9  2 12 17]
Durée :  1257
Iteration : 5450, moyenne des durée : 1257.08, durée min : 1257, durée max : 1265
Iteration : 5500, moyenne des durée : 1258.3, durée min : 1257, durée max : 1300
Iteration : 5550, moyenne des durée : 1257.33, durée min : 1257, durée max : 1280
Iteration : 5600, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 5650, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 5700, moyenne des durée : 1257.71, durée min : 1257, durée max : 1284
Iteration : 5750, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 5800, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 5850, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 5900, moyenne des durée : 1257.9, durée min : 1257, durée max : 1300
Iteration : 5950, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 6000, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 6050, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 6100, moyenne des durée : 1257.13, durée min : 1257, durée max : 1266
Iteration : 6150, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 6200, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 6250, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 6300, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 6350, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 6400, moyenne des durée : 1257.0, durée min : 1257, durée max : 1257
Iteration : 6450, moyenne des durée : 1257.08, durée min : 1257, durée max : 1265
