=======Début heuristique=======
Ordre :  [0 1 9 5 2 4 2 9 8 1 7 4 1 9 5 6 5 2 8 4 9 7 1 6 8 0 2 5 4 7 8 2 0 4 6 5 7
 3 1 6 8 6 0 7 9 0 3 3 3 3]
Durée :  711
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 675
Meilleur temps trouvé : 627
Meilleur temps trouvé : 622
Meilleur temps trouvé : 615
Convergence terminée
Iteration : 6100, moyenne des durée : 612.68, durée min : 611, durée max : 682
Iteration : 6150, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 6200, moyenne des durée : 611.06, durée min : 611, durée max : 614
Iteration : 6250, moyenne des durée : 612.62, durée min : 611, durée max : 675
Iteration : 6300, moyenne des durée : 618.16, durée min : 611, durée max : 709
Iteration : 6350, moyenne des durée : 620.23, durée min : 611, durée max : 704
Iteration : 6400, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 6450, moyenne des durée : 612.36, durée min : 611, durée max : 662
Iteration : 6500, moyenne des durée : 612.42, durée min : 611, durée max : 682
Iteration : 6550, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 6600, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 6650, moyenne des durée : 618.09, durée min : 611, durée max : 709
Iteration : 6700, moyenne des durée : 614.18, durée min : 611, durée max : 685
Iteration : 6750, moyenne des durée : 618.73, durée min : 611, durée max : 706
Iteration : 6800, moyenne des durée : 618.92, durée min : 611, durée max : 709
Iteration : 6850, moyenne des durée : 611.53, durée min : 611, durée max : 652
Iteration : 6900, moyenne des durée : 612.82, durée min : 611, durée max : 662
Iteration : 6950, moyenne des durée : 611.64, durée min : 611, durée max : 637
Iteration : 7000, moyenne des durée : 611.38, durée min : 611, durée max : 642
Iteration : 7050, moyenne des durée : 611.94, durée min : 611, durée max : 652
Iteration : 7100, moyenne des durée : 611.97, durée min : 611, durée max : 645
Iteration : 7150, moyenne des durée : 620.69, durée min : 611, durée max : 713
Iteration : 7200, moyenne des durée : 611.12, durée min : 611, durée max : 623
Iteration : 7250, moyenne des durée : 611.17, durée min : 611, durée max : 624
Iteration : 7300, moyenne des durée : 620.16, durée min : 611, durée max : 709
Iteration : 7350, moyenne des durée : 611.23, durée min : 611, durée max : 624
Iteration : 7400, moyenne des durée : 612.13, durée min : 611, durée max : 662
Iteration : 7450, moyenne des durée : 611.12, durée min : 611, durée max : 623
Iteration : 7500, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 7550, moyenne des durée : 611.58, durée min : 611, durée max : 642
Iteration : 7600, moyenne des durée : 620.21, durée min : 611, durée max : 698
Iteration : 7650, moyenne des durée : 612.64, durée min : 611, durée max : 658
Iteration : 7700, moyenne des durée : 611.32, durée min : 611, durée max : 643
