=======Début heuristique=======
Ordre :  [4 0 6 5 4 1 4 4 0 6 7 6 8 1 5 5 3 4 7 4 5 0 6 8 6 3 4 1 6 4 6 0 5 7 8 3 4
 7 9 6 0 3 1 4 0 1 5 9 8 2 6 9 0 5 8 7 1 9 0 3 9 6 2 5 8 9 0 5 1 5 2 3 8 1
 2 0 3 7 9 2 9 1 9 3 2 7 7 2 1 2 8 3 3 8 7 2 8 9 7 2]
Durée :  1068
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 1040
Meilleur temps trouvé : 1017
Convergence terminée
Descente directe :  [4 0 6 5 4 6 1 4 4 0 6 7 6 8 1 5 5 3 4 7 4 5 0 6 8 6 3 4 1 6 4 6 0 5 7 8 3
 4 7 9 6 0 3 1 4 0 1 5 9 8 2 6 9 0 5 8 7 1 9 0 3 9 2 5 8 9 0 5 8 5 2 3 8 1
 2 0 3 7 9 2 9 1 9 3 2 7 7 2 1 2 8 3 3 8 7 2 1 9 7 2]
Durée :  1017

=======Début exploration génétique=======
Iteration : 5300, moyenne des durée : 1017.76, durée min : 1017, durée max : 1059
Iteration : 5350, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 5400, moyenne des durée : 1017.93, durée min : 1017, durée max : 1061
Iteration : 5450, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 5500, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 5550, moyenne des durée : 1022.6, durée min : 1017, durée max : 1098
Iteration : 5600, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 5650, moyenne des durée : 1019.07, durée min : 1017, durée max : 1103
Iteration : 5700, moyenne des durée : 1017.51, durée min : 1017, durée max : 1038
Iteration : 5750, moyenne des durée : 1017.25, durée min : 1017, durée max : 1042
Iteration : 5800, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 5850, moyenne des durée : 1018.85, durée min : 1017, durée max : 1092
Iteration : 5900, moyenne des durée : 1017.11, durée min : 1017, durée max : 1028
Iteration : 5950, moyenne des durée : 1019.35, durée min : 1017, durée max : 1072
Iteration : 6000, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 6050, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 6100, moyenne des durée : 1019.45, durée min : 1017, durée max : 1074
Iteration : 6150, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 6200, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 6250, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 6300, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 6350, moyenne des durée : 1017.37, durée min : 1017, durée max : 1038
Iteration : 6400, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 6450, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 6500, moyenne des durée : 1018.63, durée min : 1017, durée max : 1070
Iteration : 6550, moyenne des durée : 1021.95, durée min : 1017, durée max : 1111
Iteration : 6600, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 6650, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 6700, moyenne des durée : 1018.27, durée min : 1017, durée max : 1076
Iteration : 6750, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 6800, moyenne des durée : 1020.69, durée min : 1017, durée max : 1108
Iteration : 6850, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 6900, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 6950, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 7000, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 7050, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 7100, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 7150, moyenne des durée : 1020.17, durée min : 1017, durée max : 1092
Iteration : 7200, moyenne des durée : 1017.82, durée min : 1017, durée max : 1064
Iteration : 7250, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 7300, moyenne des durée : 1018.9, durée min : 1017, durée max : 1070
Iteration : 7350, moyenne des durée : 1019.19, durée min : 1017, durée max : 1079
Iteration : 7400, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 7450, moyenne des durée : 1017.2, durée min : 1017, durée max : 1037
Iteration : 7500, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 7550, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 7600, moyenne des durée : 1017.97, durée min : 1017, durée max : 1074
Iteration : 7650, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 7700, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 7750, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 7800, moyenne des durée : 1017.87, durée min : 1017, durée max : 1056
Iteration : 7850, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 7900, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 7950, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 8000, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 8050, moyenne des durée : 1018.19, durée min : 1017, durée max : 1057
Iteration : 8100, moyenne des durée : 1023.81, durée min : 1017, durée max : 1118
Iteration : 8150, moyenne des durée : 1019.67, durée min : 1017, durée max : 1081
Iteration : 8200, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 8250, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 8300, moyenne des durée : 1017.52, durée min : 1017, durée max : 1069
Iteration : 8350, moyenne des durée : 1017.16, durée min : 1017, durée max : 1033
Iteration : 8400, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 8450, moyenne des durée : 1017.23, durée min : 1017, durée max : 1040
Iteration : 8500, moyenne des durée : 1017.93, durée min : 1017, durée max : 1061
Iteration : 8550, moyenne des durée : 1018.09, durée min : 1017, durée max : 1089
Iteration : 8600, moyenne des durée : 1017.96, durée min : 1017, durée max : 1055
Iteration : 8650, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 8700, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 8750, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 8800, moyenne des durée : 1019.32, durée min : 1017, durée max : 1098
Iteration : 8850, moyenne des durée : 1017.59, durée min : 1017, durée max : 1076
Iteration : 8900, moyenne des durée : 1019.31, durée min : 1017, durée max : 1092
Iteration : 8950, moyenne des durée : 1018.04, durée min : 1017, durée max : 1055
