=======Début heuristique=======
Ordre :  [8 3 1 2 0 7 8 5 1 4 9 1 8 0 3 1 4 7 5 9 2 3 2 6 4 9 5 0 4 7 3 4 8 2 7 5 1
 3 6 2 3 5 8 3 0 8 1 6 1 4 6 5 0 9 8 3 4 1 0 6 5 2 0 8 7 1 4 2 6 4 0 2 5 8
 2 2 1 7 3 4 9 7 5 0 5 7 6 9 3 8 0 7 6 9 7 6 9 6 9 9]
Durée :  1050
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 983
Meilleur temps trouvé : 954
Meilleur temps trouvé : 944
Meilleur temps trouvé : 942
Convergence terminée
Descente directe :  [8 3 1 2 0 7 8 5 1 4 9 1 8 0 3 1 4 7 5 9 2 3 2 6 4 9 5 0 4 7 3 4 8 2 7 5 1
 0 6 2 3 5 8 3 0 8 1 6 1 4 6 5 0 9 8 3 4 1 0 6 5 2 0 9 7 1 4 2 6 4 0 2 5 8
 2 2 1 7 3 4 9 7 5 0 5 9 6 9 3 8 9 3 7 6 9 7 6 6 7 8]
Durée :  942

=======Début exploration génétique=======
Iteration : 6150, moyenne des durée : 942.04, durée min : 942, durée max : 944
Iteration : 6200, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 6250, moyenne des durée : 942.94, durée min : 942, durée max : 983
Iteration : 6300, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 6350, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 6400, moyenne des durée : 943.98, durée min : 942, durée max : 996
Iteration : 6450, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 6500, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 6550, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 6600, moyenne des durée : 942.07, durée min : 942, durée max : 949
Iteration : 6650, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 6700, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 6750, moyenne des durée : 942.69, durée min : 942, durée max : 977
Iteration : 6800, moyenne des durée : 942.1, durée min : 942, durée max : 952
Iteration : 6850, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 6900, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 6950, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 7000, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 7050, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 7100, moyenne des durée : 942.58, durée min : 942, durée max : 998
Iteration : 7150, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 7200, moyenne des durée : 942.07, durée min : 942, durée max : 949
Iteration : 7250, moyenne des durée : 948.17, durée min : 942, durée max : 1052
Iteration : 7300, moyenne des durée : 942.11, durée min : 942, durée max : 949
Iteration : 7350, moyenne des durée : 942.37, durée min : 942, durée max : 965
Iteration : 7400, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 7450, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 7500, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 7550, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 7600, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 7650, moyenne des durée : 942.07, durée min : 942, durée max : 949
Iteration : 7700, moyenne des durée : 942.4, durée min : 942, durée max : 963
Iteration : 7750, moyenne des durée : 942.01, durée min : 942, durée max : 943
Iteration : 7800, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 7850, moyenne des durée : 942.45, durée min : 942, durée max : 969
Iteration : 7900, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 7950, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 8000, moyenne des durée : 943.03, durée min : 942, durée max : 985
Iteration : 8050, moyenne des durée : 942.24, durée min : 942, durée max : 959
Iteration : 8100, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 8150, moyenne des durée : 942.5, durée min : 942, durée max : 978
Iteration : 8200, moyenne des durée : 943.81, durée min : 942, durée max : 973
Iteration : 8250, moyenne des durée : 942.42, durée min : 942, durée max : 960
Iteration : 8300, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 8350, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 8400, moyenne des durée : 942.52, durée min : 942, durée max : 963
Iteration : 8450, moyenne des durée : 943.05, durée min : 942, durée max : 980
Iteration : 8500, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 8550, moyenne des durée : 942.05, durée min : 942, durée max : 944
Iteration : 8600, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 8650, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 8700, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 8750, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 8800, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 8850, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 8900, moyenne des durée : 942.02, durée min : 942, durée max : 944
Iteration : 8950, moyenne des durée : 942.29, durée min : 942, durée max : 971
Iteration : 9000, moyenne des durée : 942.14, durée min : 942, durée max : 949
Iteration : 9050, moyenne des durée : 943.12, durée min : 942, durée max : 985
Iteration : 9100, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 9150, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 9200, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 9250, moyenne des durée : 942.64, durée min : 942, durée max : 982
Iteration : 9300, moyenne des durée : 942.07, durée min : 942, durée max : 949
Iteration : 9350, moyenne des durée : 942.67, durée min : 942, durée max : 963
Iteration : 9400, moyenne des durée : 947.83, durée min : 942, durée max : 1041
Iteration : 9450, moyenne des durée : 942.14, durée min : 942, durée max : 949
Iteration : 9500, moyenne des durée : 942.11, durée min : 942, durée max : 949
Iteration : 9550, moyenne des durée : 942.25, durée min : 942, durée max : 960
Iteration : 9600, moyenne des durée : 942.0, durée min : 942, durée max : 942Ouverture dans une session de navigateur existante.

Iteration : 9650, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 9700, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 9750, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 9800, moyenne des durée : 942.07, durée min : 942, durée max : 949
Iteration : 9850, moyenne des durée : 942.14, durée min : 942, durée max : 949
Iteration : 9900, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 9950, moyenne des durée : 942.02, durée min : 942, durée max : 944
Optimum non trouvé après 9999 itérations
Temps :  1642.5809609889984
Durée final 942
Ordre final [8 3 1 2 0 7 8 5 1 4 9 1 8 0 3 1 4 7 5 9 2 3 2 6 4 9 5 0 4 7 3 4 8 2 7 5 1
 0 6 2 3 5 8 3 0 8 1 6 1 4 6 5 0 9 8 3 4 1 0 6 5 2 0 9 7 1 4 2 6 4 0 2 5 8
 2 2 1 7 3 4 9 7 5 0 5 9 6 9 3 8 9 3 7 6 9 7 6 6 7 8]
