=======Début heuristique=======
Ordre :  [8 0 7 3 1 8 0 4 5 6 1 9 4 8 6 1 4 0 7 9 1 0 6 4 9 1 8 0 6 7 4 8 2 5 9 6 3
 2 7 5 9 5 2 5 2 7 2 3 3 3]
Durée :  821
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 756
Meilleur temps trouvé : 713
Meilleur temps trouvé : 704
Meilleur temps trouvé : 695
Meilleur temps trouvé : 687
Meilleur temps trouvé : 685
Convergence terminée
Descente directe :  [8 0 7 3 1 8 0 4 5 6 1 9 4 8 1 4 0 7 9 1 0 6 4 9 1 8 0 6 7 8 2 5 9 6 3 2 7
 5 2 5 2 5 2 3 7 3 9 3 6 4]
Durée :  685

=======Début exploration génétique=======
Iteration : 6050, moyenne des durée : 688.72, durée min : 685, durée max : 759
Iteration : 6100, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 6150, moyenne des durée : 689.92, durée min : 685, durée max : 762
Iteration : 6200, moyenne des durée : 685.02, durée min : 685, durée max : 687
Iteration : 6250, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 6300, moyenne des durée : 692.34, durée min : 685, durée max : 759
Iteration : 6350, moyenne des durée : 695.25, durée min : 685, durée max : 778
Iteration : 6400, moyenne des durée : 688.05, durée min : 685, durée max : 745
Iteration : 6450, moyenne des durée : 688.57, durée min : 685, durée max : 759
Iteration : 6500, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 6550, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 6600, moyenne des durée : 687.44, durée min : 685, durée max : 741
Iteration : 6650, moyenne des durée : 689.0, durée min : 685, durée max : 754
Iteration : 6700, moyenne des durée : 689.64, durée min : 685, durée max : 751
Iteration : 6750, moyenne des durée : 689.44, durée min : 685, durée max : 755
Iteration : 6800, moyenne des durée : 685.44, durée min : 685, durée max : 701
Iteration : 6850, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 6900, moyenne des durée : 687.83, durée min : 685, durée max : 762
Iteration : 6950, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 7000, moyenne des durée : 685.55, durée min : 685, durée max : 701
Iteration : 7050, moyenne des durée : 686.81, durée min : 685, durée max : 745
Iteration : 7100, moyenne des durée : 688.58, durée min : 685, durée max : 759
Iteration : 7150, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 7200, moyenne des durée : 687.89, durée min : 685, durée max : 751
Iteration : 7250, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 7300, moyenne des durée : 686.54, durée min : 685, durée max : 741
Iteration : 7350, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 7400, moyenne des durée : 686.78, durée min : 685, durée max : 728
Iteration : 7450, moyenne des durée : 685.53, durée min : 685, durée max : 720
Iteration : 7500, moyenne des durée : 688.48, durée min : 685, durée max : 758
Iteration : 7550, moyenne des durée : 685.75, durée min : 685, durée max : 711
Iteration : 7600, moyenne des durée : 685.4, durée min : 685, durée max : 700
Iteration : 7650, moyenne des durée : 687.76, durée min : 685, durée max : 751
Iteration : 7700, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 7750, moyenne des durée : 692.37, durée min : 685, durée max : 759
Iteration : 7800, moyenne des durée : 688.46, durée min : 685, durée max : 755
Iteration : 7850, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 7900, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 7950, moyenne des durée : 685.03, durée min : 685, durée max : 688
Iteration : 8000, moyenne des durée : 685.19, durée min : 685, durée max : 701
Iteration : 8050, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 8100, moyenne des durée : 688.08, durée min : 685, durée max : 759
Iteration : 8150, moyenne des durée : 688.91, durée min : 685, durée max : 753
Iteration : 8200, moyenne des durée : 687.95, durée min : 685, durée max : 759
Iteration : 8250, moyenne des durée : 686.89, durée min : 685, durée max : 745
Iteration : 8300, moyenne des durée : 688.03, durée min : 685, durée max : 735
Iteration : 8350, moyenne des durée : 685.44, durée min : 685, durée max : 715
Iteration : 8400, moyenne des durée : 686.17, durée min : 685, durée max : 732
Iteration : 8450, moyenne des durée : 685.06, durée min : 685, durée max : 688
Iteration : 8500, moyenne des durée : 685.56, durée min : 685, durée max : 701
Iteration : 8550, moyenne des durée : 686.39, durée min : 685, durée max : 727
Iteration : 8600, moyenne des durée : 690.62, durée min : 685, durée max : 762
Iteration : 8650, moyenne des durée : 686.26, durée min : 685, durée max : 735
Iteration : 8700, moyenne des durée : 687.17, durée min : 685, durée max : 747
Iteration : 8750, moyenne des durée : 689.54, durée min : 685, durée max : 756
Iteration : 8800, moyenne des durée : 692.21, durée min : 685, durée max : 759
Iteration : 8850, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 8900, moyenne des durée : 686.53, durée min : 685, durée max : 720
Iteration : 8950, moyenne des durée : 690.0, durée min : 685, durée max : 762
Iteration : 9000, moyenne des durée : 685.03, durée min : 685, durée max : 688
Iteration : 9050, moyenne des durée : 691.3, durée min : 685, durée max : 762
Iteration : 9100, moyenne des durée : 690.23, durée min : 685, durée max : 759
Iteration : 9150, moyenne des durée : 689.83, durée min : 685, durée max : 778
Iteration : 9200, moyenne des durée : 688.83, durée min : 685, durée max : 750
Iteration : 9250, moyenne des durée : 686.33, durée min : 685, durée max : 741
Iteration : 9300, moyenne des durée : 687.73, durée min : 685, durée max : 741
Iteration : 9350, moyenne des durée : 686.29, durée min : 685, durée max : 746
Iteration : 9400, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 9450, moyenne des durée : 688.77, durée min : 685, durée max : 751
Iteration : 9500, moyenne des durée : 696.5, durée min : 685, durée max : 777
Iteration : 9550, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 9600, moyenne des durée : 686.93, durée min : 685, durée max : 744
Iteration : 9650, moyenne des durée : 689.89, durée min : 685, durée max : 735
Iteration : 9700, moyenne des durée : 685.16, durée min : 685, durée max : 701Ouverture dans une session de navigateur existante.

Iteration : 9750, moyenne des durée : 689.47, durée min : 685, durée max : 755
Iteration : 9800, moyenne des durée : 687.83, durée min : 685, durée max : 754
Iteration : 9850, moyenne des durée : 686.43, durée min : 685, durée max : 746
Iteration : 9900, moyenne des durée : 688.12, durée min : 685, durée max : 737
Iteration : 9950, moyenne des durée : 685.13, durée min : 685, durée max : 698
Optimum non trouvé après 9999 itérations
Temps :  896.444429397583
Durée final 685
Ordre final [8 0 7 3 1 8 0 4 5 6 1 9 4 8 1 4 0 7 9 1 0 6 4 9 1 8 0 6 7 8 2 5 9 6 3 2 7
 5 2 5 2 5 2 3 7 3 9 3 6 4]
